2017-03-08 00:26:01.543418 -- Retweeted tweet id: 309928085875200000
2017-03-08 00:27:01.767699 -- Unable to retweet id: 309928085875200000
2017-03-08 00:28:02.040344 -- Unable to retweet id: 309928085875200000
2017-03-08 00:29:01.346793 -- Unable to retweet id: 309928085875200000
2017-03-08 00:30:01.559588 -- Unable to retweet id: 309928085875200000
2017-03-08 00:31:01.783564 -- Unable to retweet id: 309928085875200000
2017-03-08 00:32:02.110086 -- Unable to retweet id: 309928085875200000
2017-03-08 00:33:01.326917 -- Unable to retweet id: 309928085875200000
2017-03-08 00:34:01.546981 -- Unable to retweet id: 309928085875200000
2017-03-08 00:35:01.805698 -- Unable to retweet id: 309928085875200000
2017-03-08 00:36:02.052160 -- Unable to retweet id: 309928085875200000
2017-03-08 00:37:01.340010 -- Unable to retweet id: 309928085875200000
2017-03-08 00:38:01.549024 -- Unable to retweet id: 309928085875200000
2017-03-08 00:39:01.768069 -- Unable to retweet id: 309928085875200000
2017-03-08 00:40:01.982345 -- Unable to retweet id: 309928085875200000
2017-03-08 00:41:02.212185 -- Unable to retweet id: 309928085875200000
2017-03-08 00:42:01.429309 -- Unable to retweet id: 309928085875200000
2017-03-08 00:43:01.650809 -- Unable to retweet id: 309928085875200000
2017-03-08 00:44:01.926295 -- Unable to retweet id: 309928085875200000
2017-03-08 00:45:02.144471 -- Unable to retweet id: 309928085875200000
2017-03-08 00:46:01.359756 -- Unable to retweet id: 309928085875200000
2017-03-08 00:47:01.662618 -- Unable to retweet id: 309928085875200000
2017-03-08 00:48:01.876288 -- Unable to retweet id: 309928085875200000
2017-03-08 00:49:02.088878 -- Unable to retweet id: 309928085875200000
2017-03-08 00:50:01.321680 -- Unable to retweet id: 309928085875200000
2017-03-08 00:51:01.541360 -- Unable to retweet id: 309928085875200000
2017-03-08 00:52:01.793452 -- Unable to retweet id: 309928085875200000
2017-03-08 00:53:02.040843 -- Unable to retweet id: 309928085875200000
2017-03-08 00:54:01.256988 -- Unable to retweet id: 309928085875200000
2017-03-08 00:55:01.475825 -- Unable to retweet id: 309928085875200000
2017-03-08 00:56:01.689429 -- Unable to retweet id: 309928085875200000
2017-03-08 00:57:01.903523 -- Unable to retweet id: 309928085875200000
2017-03-08 00:58:02.112666 -- Unable to retweet id: 309928085875200000
2017-03-08 00:59:01.427071 -- Unable to retweet id: 309928085875200000
2017-03-08 01:00:01.694375 -- Unable to retweet id: 309928085875200000
2017-03-08 01:01:01.917075 -- Unable to retweet id: 309928085875200000
2017-03-08 01:02:02.132478 -- Unable to retweet id: 309928085875200000
2017-03-08 01:03:01.350870 -- Unable to retweet id: 309928085875200000
2017-03-08 01:04:01.558727 -- Unable to retweet id: 309928085875200000
2017-03-08 01:05:01.766675 -- Unable to retweet id: 309928085875200000
2017-03-08 01:06:02.002445 -- Unable to retweet id: 309928085875200000
2017-03-08 01:07:01.336398 -- Unable to retweet id: 309928085875200000
2017-03-08 01:08:01.586689 -- Unable to retweet id: 309928085875200000
2017-03-08 01:09:01.802134 -- Unable to retweet id: 309928085875200000
2017-03-08 01:10:02.030787 -- Unable to retweet id: 309928085875200000
2017-03-08 01:11:01.244957 -- Unable to retweet id: 309928085875200000
2017-03-08 01:12:01.462006 -- Unable to retweet id: 309928085875200000
2017-03-08 01:13:01.741734 -- Unable to retweet id: 309928085875200000
2017-03-08 01:14:01.963836 -- Unable to retweet id: 309928085875200000
2017-03-08 01:15:02.177580 -- Unable to retweet id: 309928085875200000
2017-03-08 01:16:01.383856 -- Unable to retweet id: 309928085875200000
2017-03-08 01:17:01.607444 -- Unable to retweet id: 309928085875200000
2017-03-08 01:18:01.818670 -- Unable to retweet id: 309928085875200000
2017-03-08 01:19:02.041671 -- Unable to retweet id: 309928085875200000
2017-03-08 01:20:01.252876 -- Unable to retweet id: 309928085875200000
2017-03-08 01:21:01.511463 -- Unable to retweet id: 309928085875200000
2017-03-08 01:22:01.739046 -- Unable to retweet id: 309928085875200000
2017-03-08 01:23:01.949528 -- Unable to retweet id: 309928085875200000
2017-03-08 01:24:02.158809 -- Unable to retweet id: 309928085875200000
2017-03-08 01:25:01.393116 -- Unable to retweet id: 309928085875200000
2017-03-08 01:26:01.607089 -- Unable to retweet id: 309928085875200000
2017-03-08 01:27:01.817441 -- Unable to retweet id: 309928085875200000
2017-03-08 01:28:02.038276 -- Unable to retweet id: 309928085875200000
2017-03-08 01:29:01.286636 -- Unable to retweet id: 309928085875200000
2017-03-08 01:30:01.507432 -- Unable to retweet id: 309928085875200000
2017-03-08 01:31:01.720561 -- Unable to retweet id: 309928085875200000
2017-03-08 01:32:01.992380 -- Unable to retweet id: 309928085875200000
2017-03-08 01:33:02.203557 -- Unable to retweet id: 309928085875200000
2017-03-08 01:34:01.421962 -- Unable to retweet id: 309928085875200000
2017-03-08 01:35:01.638599 -- Unable to retweet id: 309928085875200000
2017-03-08 01:36:01.882612 -- Unable to retweet id: 309928085875200000
2017-03-08 01:37:02.123646 -- Unable to retweet id: 309928085875200000
2017-03-08 01:38:01.334381 -- Unable to retweet id: 309928085875200000
2017-03-08 01:39:01.584979 -- Unable to retweet id: 309928085875200000
2017-03-08 01:40:01.804673 -- Unable to retweet id: 309928085875200000
2017-03-08 01:41:02.021061 -- Unable to retweet id: 309928085875200000
2017-03-08 01:42:01.297748 -- Unable to retweet id: 309928085875200000
2017-03-08 01:43:01.505811 -- Unable to retweet id: 309928085875200000
2017-03-08 01:44:01.720306 -- Unable to retweet id: 309928085875200000
2017-03-08 01:45:01.935301 -- Unable to retweet id: 309928085875200000
2017-03-08 01:46:02.150195 -- Unable to retweet id: 309928085875200000
2017-03-08 01:47:01.368843 -- Unable to retweet id: 309928085875200000
2017-03-08 01:48:01.617531 -- Unable to retweet id: 309928085875200000
2017-03-08 01:49:01.838283 -- Unable to retweet id: 309928085875200000
2017-03-08 01:50:02.107994 -- Unable to retweet id: 309928085875200000
2017-03-08 01:51:01.319742 -- Unable to retweet id: 309928085875200000
2017-03-08 01:52:01.588734 -- Unable to retweet id: 309928085875200000
2017-03-08 01:53:01.799306 -- Unable to retweet id: 309928085875200000
2017-03-08 01:54:02.022983 -- Unable to retweet id: 309928085875200000
2017-03-08 01:55:01.347314 -- Unable to retweet id: 309928085875200000
2017-03-08 01:56:01.633948 -- Unable to retweet id: 309928085875200000
2017-03-08 01:57:01.914485 -- Unable to retweet id: 309928085875200000
2017-03-08 01:58:02.129157 -- Unable to retweet id: 309928085875200000
2017-03-08 01:59:01.427119 -- Unable to retweet id: 309928085875200000
2017-03-08 02:00:01.674781 -- Unable to retweet id: 309928085875200000
2017-03-08 02:01:01.888729 -- Unable to retweet id: 309928085875200000
2017-03-08 02:02:02.101723 -- Unable to retweet id: 309928085875200000
2017-03-08 02:03:01.324779 -- Unable to retweet id: 309928085875200000
2017-03-08 02:04:01.540505 -- Unable to retweet id: 309928085875200000
2017-03-08 02:05:01.773105 -- Unable to retweet id: 309928085875200000
2017-03-08 02:06:02.001863 -- Unable to retweet id: 309928085875200000
2017-03-08 02:07:01.307428 -- Unable to retweet id: 309928085875200000
2017-03-08 02:08:01.517122 -- Unable to retweet id: 309928085875200000
2017-03-08 02:09:01.721053 -- Unable to retweet id: 309928085875200000
2017-03-08 02:10:01.933467 -- Unable to retweet id: 309928085875200000
2017-03-08 02:11:02.158624 -- Unable to retweet id: 309928085875200000
2017-03-08 02:12:01.551149 -- Unable to retweet id: 309928085875200000
2017-03-08 02:13:01.770319 -- Unable to retweet id: 309928085875200000
2017-03-08 02:14:02.106214 -- Unable to retweet id: 309928085875200000
2017-03-08 02:15:01.321782 -- Unable to retweet id: 309928085875200000
2017-03-08 02:16:01.533189 -- Unable to retweet id: 309928085875200000
2017-03-08 02:17:02.037500 -- Unable to retweet id: 309928085875200000
2017-03-08 02:18:01.263124 -- Unable to retweet id: 309928085875200000
2017-03-08 02:19:01.479377 -- Unable to retweet id: 309928085875200000
2017-03-08 02:20:01.691653 -- Unable to retweet id: 309928085875200000
2017-03-08 02:21:01.913990 -- Unable to retweet id: 309928085875200000
2017-03-08 02:22:02.123166 -- Unable to retweet id: 309928085875200000
2017-03-08 02:23:01.383847 -- Unable to retweet id: 309928085875200000
2017-03-08 02:24:01.594690 -- Unable to retweet id: 309928085875200000
2017-03-08 02:25:01.819005 -- Unable to retweet id: 309928085875200000
2017-03-08 02:26:02.038326 -- Unable to retweet id: 309928085875200000
2017-03-08 02:27:01.256762 -- Unable to retweet id: 309928085875200000
2017-03-08 02:28:01.470579 -- Unable to retweet id: 309928085875200000
2017-03-08 02:29:01.700600 -- Unable to retweet id: 309928085875200000
2017-03-08 02:30:02.076693 -- Unable to retweet id: 309928085875200000
2017-03-08 02:31:01.306950 -- Unable to retweet id: 309928085875200000
2017-03-08 02:32:01.536683 -- Unable to retweet id: 309928085875200000
2017-03-08 02:33:01.803052 -- Unable to retweet id: 309928085875200000
2017-03-08 02:34:02.020431 -- Unable to retweet id: 309928085875200000
2017-03-08 02:35:01.282810 -- Unable to retweet id: 309928085875200000
2017-03-08 02:36:01.498347 -- Unable to retweet id: 309928085875200000
2017-03-08 02:37:01.709434 -- Unable to retweet id: 309928085875200000
2017-03-08 02:38:01.975486 -- Unable to retweet id: 309928085875200000
2017-03-08 02:39:02.214020 -- Unable to retweet id: 309928085875200000
2017-03-08 02:40:01.429672 -- Unable to retweet id: 309928085875200000
2017-03-08 02:41:01.647670 -- Unable to retweet id: 309928085875200000
2017-03-08 02:42:01.885602 -- Unable to retweet id: 309928085875200000
2017-03-08 02:43:02.121309 -- Unable to retweet id: 309928085875200000
2017-03-08 02:44:01.339656 -- Unable to retweet id: 309928085875200000
2017-03-08 02:45:01.565577 -- Unable to retweet id: 309928085875200000
2017-03-08 02:46:01.773093 -- Unable to retweet id: 309928085875200000
2017-03-08 02:47:01.995758 -- Unable to retweet id: 309928085875200000
2017-03-08 02:48:01.211711 -- Unable to retweet id: 309928085875200000
2017-03-08 02:49:01.494879 -- Unable to retweet id: 309928085875200000
2017-03-08 02:50:01.728304 -- Unable to retweet id: 309928085875200000
2017-03-08 02:51:01.948646 -- Unable to retweet id: 309928085875200000
2017-03-08 02:52:02.229583 -- Unable to retweet id: 309928085875200000
2017-03-08 02:53:01.491173 -- Unable to retweet id: 309928085875200000
2017-03-08 02:54:01.741455 -- Unable to retweet id: 309928085875200000
2017-03-08 02:55:02.042903 -- Unable to retweet id: 309928085875200000
2017-03-08 02:56:01.259877 -- Unable to retweet id: 309928085875200000
2017-03-08 02:57:01.566460 -- Unable to retweet id: 309928085875200000
2017-03-08 02:58:01.778391 -- Unable to retweet id: 309928085875200000
2017-03-08 02:59:01.987533 -- Unable to retweet id: 309928085875200000
2017-03-08 03:00:02.199365 -- Unable to retweet id: 309928085875200000
2017-03-08 03:01:01.427015 -- Unable to retweet id: 309928085875200000
2017-03-08 03:02:01.678331 -- Unable to retweet id: 309928085875200000
2017-03-08 03:03:01.888984 -- Unable to retweet id: 309928085875200000
2017-03-08 03:04:02.170129 -- Unable to retweet id: 309928085875200000
2017-03-08 03:05:01.476279 -- Unable to retweet id: 309928085875200000
2017-03-08 03:06:01.700512 -- Unable to retweet id: 309928085875200000
2017-03-08 03:07:01.910268 -- Unable to retweet id: 309928085875200000
2017-03-08 03:08:02.120052 -- Unable to retweet id: 309928085875200000
2017-03-08 03:09:01.334584 -- Unable to retweet id: 309928085875200000
2017-03-08 03:10:01.620731 -- Unable to retweet id: 309928085875200000
2017-03-08 03:11:01.894963 -- Unable to retweet id: 309928085875200000
2017-03-08 03:12:02.108663 -- Unable to retweet id: 309928085875200000
2017-03-08 03:13:01.383303 -- Unable to retweet id: 309928085875200000
2017-03-08 03:14:01.593639 -- Unable to retweet id: 309928085875200000
