2017-10-25 19:11:01.718427 -- Retweeted tweet id: 393545238213824512
2017-10-25 19:12:01.949231 -- Unable to retweet id: 393545238213824512
2017-10-25 19:13:02.174658 -- Unable to retweet id: 393545238213824512
2017-10-25 19:14:01.403460 -- Unable to retweet id: 393545238213824512
2017-10-25 19:15:01.755462 -- Unable to retweet id: 393545238213824512
2017-10-25 19:16:01.980712 -- Unable to retweet id: 393545238213824512
2017-10-25 19:17:02.283772 -- Unable to retweet id: 393545238213824512
2017-10-25 19:18:01.534893 -- Unable to retweet id: 393545238213824512
2017-10-25 19:19:01.773350 -- Unable to retweet id: 393545238213824512
2017-10-25 19:20:01.990624 -- Unable to retweet id: 393545238213824512
2017-10-25 19:21:02.213638 -- Unable to retweet id: 393545238213824512
2017-10-25 19:22:01.438986 -- Unable to retweet id: 393545238213824512
2017-10-25 19:23:01.701875 -- Unable to retweet id: 393545238213824512
2017-10-25 19:24:02.030666 -- Unable to retweet id: 393545238213824512
2017-10-25 19:25:01.521144 -- Unable to retweet id: 393545238213824512
2017-10-25 19:26:01.744198 -- Unable to retweet id: 393545238213824512
2017-10-25 19:27:01.973423 -- Unable to retweet id: 393545238213824512
2017-10-25 19:28:02.195043 -- Unable to retweet id: 393545238213824512
2017-10-25 19:29:01.423611 -- Unable to retweet id: 393545238213824512
2017-10-25 19:30:01.650241 -- Unable to retweet id: 393545238213824512
2017-10-25 19:31:02.243271 -- Unable to retweet id: 393545238213824512
2017-10-25 19:32:01.790592 -- Unable to retweet id: 393545238213824512
2017-10-25 19:33:02.045003 -- Unable to retweet id: 393545238213824512
2017-10-25 19:34:01.269470 -- Unable to retweet id: 393545238213824512
2017-10-25 19:35:01.501480 -- Unable to retweet id: 393545238213824512
2017-10-25 19:36:01.735218 -- Unable to retweet id: 393545238213824512
2017-10-25 19:37:02.422046 -- Unable to retweet id: 393545238213824512
2017-10-25 19:38:01.722133 -- Unable to retweet id: 393545238213824512
2017-10-25 19:39:01.947761 -- Unable to retweet id: 393545238213824512
2017-10-25 19:40:02.298554 -- Unable to retweet id: 393545238213824512
2017-10-25 19:41:01.646740 -- Unable to retweet id: 393545238213824512
2017-10-25 19:42:01.896090 -- Unable to retweet id: 393545238213824512
2017-10-25 19:43:02.132291 -- Unable to retweet id: 393545238213824512
2017-10-25 19:44:01.677734 -- Unable to retweet id: 393545238213824512
2017-10-25 19:45:01.921377 -- Unable to retweet id: 393545238213824512
2017-10-25 19:46:02.152787 -- Unable to retweet id: 393545238213824512
2017-10-25 19:47:01.368554 -- Unable to retweet id: 393545238213824512
2017-10-25 19:48:01.928649 -- Unable to retweet id: 393545238213824512
2017-10-25 19:49:02.220170 -- Unable to retweet id: 393545238213824512
2017-10-25 19:50:01.440178 -- Unable to retweet id: 393545238213824512
2017-10-25 19:51:01.662738 -- Unable to retweet id: 393545238213824512
2017-10-25 19:52:01.889088 -- Unable to retweet id: 393545238213824512
2017-10-25 19:53:02.202960 -- Unable to retweet id: 393545238213824512
2017-10-25 19:54:01.433579 -- Unable to retweet id: 393545238213824512
2017-10-25 19:55:01.662982 -- Unable to retweet id: 393545238213824512
2017-10-25 19:56:01.894883 -- Unable to retweet id: 393545238213824512
2017-10-25 19:57:02.119684 -- Unable to retweet id: 393545238213824512
2017-10-25 19:58:01.373956 -- Unable to retweet id: 393545238213824512
2017-10-25 19:59:01.747794 -- Unable to retweet id: 393545238213824512
2017-10-25 20:00:02.045050 -- Unable to retweet id: 393545238213824512
2017-10-25 20:01:01.270777 -- Unable to retweet id: 393545238213824512
2017-10-25 20:02:01.518353 -- Unable to retweet id: 393545238213824512
2017-10-25 20:03:01.795714 -- Unable to retweet id: 393545238213824512
2017-10-25 20:04:02.135385 -- Unable to retweet id: 393545238213824512
2017-10-25 20:05:01.351082 -- Unable to retweet id: 393545238213824512
2017-10-25 20:06:01.624611 -- Unable to retweet id: 393545238213824512
2017-10-25 20:07:02.034703 -- Unable to retweet id: 393545238213824512
2017-10-25 20:08:01.355480 -- Unable to retweet id: 393545238213824512
2017-10-25 20:09:01.774265 -- Unable to retweet id: 393545238213824512
2017-10-25 20:10:02.004976 -- Unable to retweet id: 393545238213824512
2017-10-25 20:11:01.226998 -- Unable to retweet id: 393545238213824512
2017-10-25 20:12:01.486663 -- Unable to retweet id: 393545238213824512
2017-10-25 20:13:01.745535 -- Unable to retweet id: 393545238213824512
2017-10-25 20:14:01.985175 -- Unable to retweet id: 393545238213824512
2017-10-25 20:15:02.256449 -- Unable to retweet id: 393545238213824512
2017-10-25 20:16:01.478001 -- Unable to retweet id: 393545238213824512
2017-10-25 20:17:01.716449 -- Unable to retweet id: 393545238213824512
2017-10-25 20:18:01.939067 -- Unable to retweet id: 393545238213824512
2017-10-25 20:19:02.178073 -- Unable to retweet id: 393545238213824512
2017-10-25 20:20:01.421348 -- Unable to retweet id: 393545238213824512
2017-10-25 20:21:01.773772 -- Unable to retweet id: 393545238213824512
2017-10-25 20:22:02.015705 -- Unable to retweet id: 393545238213824512
2017-10-25 20:23:01.267218 -- Unable to retweet id: 393545238213824512
2017-10-25 20:24:01.493334 -- Unable to retweet id: 393545238213824512
2017-10-25 20:25:01.731170 -- Unable to retweet id: 393545238213824512
2017-10-25 20:26:01.951678 -- Unable to retweet id: 393545238213824512
2017-10-25 20:26:02.477605 -- Retweeted tweet id: 393564211827462144
2017-10-25 20:27:01.764709 -- Unable to retweet id: 393545238213824512
2017-10-25 20:27:01.897303 -- Unable to retweet id: 393564211827462144
2017-10-25 20:28:02.195758 -- Unable to retweet id: 393545238213824512
2017-10-25 20:28:02.330131 -- Unable to retweet id: 393564211827462144
2017-10-25 20:29:01.638699 -- Unable to retweet id: 393545238213824512
2017-10-25 20:29:01.777777 -- Unable to retweet id: 393564211827462144
2017-10-25 20:30:02.005276 -- Unable to retweet id: 393545238213824512
2017-10-25 20:30:02.143485 -- Unable to retweet id: 393564211827462144
2017-10-25 20:31:01.357266 -- Unable to retweet id: 393545238213824512
2017-10-25 20:31:01.497901 -- Unable to retweet id: 393564211827462144
2017-10-25 20:32:01.715445 -- Unable to retweet id: 393545238213824512
2017-10-25 20:32:01.853198 -- Unable to retweet id: 393564211827462144
2017-10-25 20:33:02.071210 -- Unable to retweet id: 393545238213824512
2017-10-25 20:33:02.222440 -- Unable to retweet id: 393564211827462144
2017-10-25 20:34:01.478856 -- Unable to retweet id: 393545238213824512
2017-10-25 20:34:01.617972 -- Unable to retweet id: 393564211827462144
2017-10-25 20:35:01.874430 -- Unable to retweet id: 393545238213824512
2017-10-25 20:35:02.023214 -- Unable to retweet id: 393564211827462144
2017-10-25 20:36:01.454865 -- Unable to retweet id: 393545238213824512
2017-10-25 20:36:01.593078 -- Unable to retweet id: 393564211827462144
2017-10-25 20:37:01.813488 -- Unable to retweet id: 393545238213824512
2017-10-25 20:37:01.945235 -- Unable to retweet id: 393564211827462144
2017-10-25 20:38:02.175664 -- Unable to retweet id: 393545238213824512
2017-10-25 20:38:02.449681 -- Unable to retweet id: 393564211827462144
2017-10-25 20:39:01.678115 -- Unable to retweet id: 393545238213824512
2017-10-25 20:39:01.816359 -- Unable to retweet id: 393564211827462144
2017-10-25 20:40:02.036530 -- Unable to retweet id: 393545238213824512
2017-10-25 20:40:02.168305 -- Unable to retweet id: 393564211827462144
2017-10-25 20:41:01.398830 -- Unable to retweet id: 393545238213824512
2017-10-25 20:41:01.548622 -- Unable to retweet id: 393564211827462144
2017-10-25 20:42:01.776711 -- Unable to retweet id: 393545238213824512
2017-10-25 20:42:01.911546 -- Unable to retweet id: 393564211827462144
2017-10-25 20:43:02.145174 -- Unable to retweet id: 393545238213824512
2017-10-25 20:43:02.290145 -- Unable to retweet id: 393564211827462144
2017-10-25 20:44:01.513735 -- Unable to retweet id: 393545238213824512
2017-10-25 20:44:01.649825 -- Unable to retweet id: 393564211827462144
2017-10-25 20:45:01.882211 -- Unable to retweet id: 393545238213824512
2017-10-25 20:45:02.022217 -- Unable to retweet id: 393564211827462144
2017-10-25 20:46:01.246013 -- Unable to retweet id: 393545238213824512
2017-10-25 20:46:01.383489 -- Unable to retweet id: 393564211827462144
2017-10-25 20:47:01.652602 -- Unable to retweet id: 393545238213824512
2017-10-25 20:47:01.908883 -- Unable to retweet id: 393564211827462144
2017-10-25 20:48:02.162952 -- Unable to retweet id: 393545238213824512
2017-10-25 20:48:02.296309 -- Unable to retweet id: 393564211827462144
2017-10-25 20:49:01.628408 -- Unable to retweet id: 393545238213824512
2017-10-25 20:49:01.770825 -- Unable to retweet id: 393564211827462144
2017-10-25 20:50:02.233109 -- Unable to retweet id: 393545238213824512
2017-10-25 20:50:02.373459 -- Unable to retweet id: 393564211827462144
2017-10-25 20:51:01.593751 -- Unable to retweet id: 393545238213824512
2017-10-25 20:51:02.050752 -- Unable to retweet id: 393564211827462144
2017-10-25 20:52:01.393401 -- Unable to retweet id: 393545238213824512
2017-10-25 20:52:01.561086 -- Unable to retweet id: 393564211827462144
2017-10-25 20:53:01.808515 -- Unable to retweet id: 393545238213824512
2017-10-25 20:53:01.945434 -- Unable to retweet id: 393564211827462144
2017-10-25 20:54:02.235473 -- Unable to retweet id: 393545238213824512
2017-10-25 20:54:02.372447 -- Unable to retweet id: 393564211827462144
2017-10-25 20:55:01.593526 -- Unable to retweet id: 393545238213824512
2017-10-25 20:55:01.758277 -- Unable to retweet id: 393564211827462144
2017-10-25 20:56:01.992516 -- Unable to retweet id: 393545238213824512
2017-10-25 20:56:02.168879 -- Unable to retweet id: 393564211827462144
2017-10-25 20:57:01.407170 -- Unable to retweet id: 393545238213824512
2017-10-25 20:57:01.571132 -- Unable to retweet id: 393564211827462144
2017-10-25 20:58:01.793148 -- Unable to retweet id: 393545238213824512
2017-10-25 20:58:01.927552 -- Unable to retweet id: 393564211827462144
2017-10-25 20:59:02.173890 -- Unable to retweet id: 393545238213824512
2017-10-25 20:59:02.315336 -- Unable to retweet id: 393564211827462144
2017-10-25 21:00:01.553194 -- Unable to retweet id: 393545238213824512
2017-10-25 21:00:01.697849 -- Unable to retweet id: 393564211827462144
2017-10-25 21:01:01.921209 -- Unable to retweet id: 393545238213824512
2017-10-25 21:01:02.060378 -- Unable to retweet id: 393564211827462144
2017-10-25 21:02:01.304617 -- Unable to retweet id: 393545238213824512
2017-10-25 21:02:01.448849 -- Unable to retweet id: 393564211827462144
2017-10-25 21:03:01.680091 -- Unable to retweet id: 393545238213824512
2017-10-25 21:03:01.818759 -- Unable to retweet id: 393564211827462144
2017-10-25 21:04:02.064085 -- Unable to retweet id: 393545238213824512
2017-10-25 21:04:02.199050 -- Unable to retweet id: 393564211827462144
2017-10-25 21:05:01.419807 -- Unable to retweet id: 393545238213824512
2017-10-25 21:05:01.559320 -- Unable to retweet id: 393564211827462144
