2017-12-02 06:02:01.620607 -- Retweeted tweet id: 407495082854846464
2017-12-02 06:03:01.854950 -- Unable to retweet id: 407495082854846464
2017-12-02 06:04:02.073588 -- Unable to retweet id: 407495082854846464
2017-12-02 06:05:01.285803 -- Unable to retweet id: 407495082854846464
2017-12-02 06:06:01.525851 -- Unable to retweet id: 407495082854846464
2017-12-02 06:07:01.904768 -- Unable to retweet id: 407495082854846464
2017-12-02 06:08:02.174321 -- Unable to retweet id: 407495082854846464
2017-12-02 06:08:02.766844 -- Retweeted tweet id: 407496524130947072
2017-12-02 06:09:01.997526 -- Unable to retweet id: 407495082854846464
2017-12-02 06:09:02.132257 -- Unable to retweet id: 407496524130947072
2017-12-02 06:10:01.382501 -- Unable to retweet id: 407495082854846464
2017-12-02 06:10:01.553833 -- Unable to retweet id: 407496524130947072
2017-12-02 06:11:01.804064 -- Unable to retweet id: 407495082854846464
2017-12-02 06:11:01.937025 -- Unable to retweet id: 407496524130947072
2017-12-02 06:12:02.153162 -- Unable to retweet id: 407495082854846464
2017-12-02 06:12:02.283131 -- Unable to retweet id: 407496524130947072
2017-12-02 06:13:01.533150 -- Unable to retweet id: 407495082854846464
2017-12-02 06:13:01.667865 -- Unable to retweet id: 407496524130947072
2017-12-02 06:14:01.928343 -- Unable to retweet id: 407495082854846464
2017-12-02 06:14:02.081144 -- Unable to retweet id: 407496524130947072
2017-12-02 06:15:01.303269 -- Unable to retweet id: 407495082854846464
2017-12-02 06:15:01.443312 -- Unable to retweet id: 407496524130947072
2017-12-02 06:16:01.668711 -- Unable to retweet id: 407495082854846464
2017-12-02 06:16:01.807008 -- Unable to retweet id: 407496524130947072
2017-12-02 06:17:02.030865 -- Unable to retweet id: 407495082854846464
2017-12-02 06:17:02.270147 -- Unable to retweet id: 407496524130947072
2017-12-02 06:18:01.516139 -- Unable to retweet id: 407495082854846464
2017-12-02 06:18:01.653886 -- Unable to retweet id: 407496524130947072
2017-12-02 06:19:01.891674 -- Unable to retweet id: 407495082854846464
2017-12-02 06:19:02.035292 -- Unable to retweet id: 407496524130947072
2017-12-02 06:20:01.256202 -- Unable to retweet id: 407495082854846464
