2017-02-07 08:35:02.075865 -- Unable to retweet id: 299530651776999424
2017-02-07 08:36:01.326959 -- Unable to retweet id: 299530494457020417
2017-02-07 08:36:01.460397 -- Unable to retweet id: 299530651776999424
2017-02-07 08:36:01.716912 -- Retweeted tweet id: 299542215292755968
2017-02-07 08:37:01.925548 -- Unable to retweet id: 299530494457020417
2017-02-07 08:37:02.059081 -- Unable to retweet id: 299530651776999424
2017-02-07 08:37:02.205084 -- Unable to retweet id: 299542215292755968
2017-02-07 08:38:01.434724 -- Unable to retweet id: 299530494457020417
2017-02-07 08:38:01.666129 -- Unable to retweet id: 299530651776999424
2017-02-07 08:38:01.812967 -- Unable to retweet id: 299542215292755968
2017-02-07 08:39:02.035072 -- Unable to retweet id: 299530494457020417
2017-02-07 08:39:02.167360 -- Unable to retweet id: 299530651776999424
2017-02-07 08:39:02.292158 -- Unable to retweet id: 299542215292755968
2017-02-07 08:40:01.585545 -- Unable to retweet id: 299530494457020417
2017-02-07 08:40:01.716854 -- Unable to retweet id: 299530651776999424
2017-02-07 08:40:01.855204 -- Unable to retweet id: 299542215292755968
2017-02-07 08:41:02.070692 -- Unable to retweet id: 299530494457020417
2017-02-07 08:41:02.203971 -- Unable to retweet id: 299530651776999424
2017-02-07 08:41:02.352012 -- Unable to retweet id: 299542215292755968
2017-02-07 08:42:01.600728 -- Unable to retweet id: 299530494457020417
2017-02-07 08:42:01.730751 -- Unable to retweet id: 299530651776999424
2017-02-07 08:42:01.863557 -- Unable to retweet id: 299542215292755968
2017-02-07 08:43:02.084090 -- Unable to retweet id: 299530494457020417
2017-02-07 08:43:02.217616 -- Unable to retweet id: 299530651776999424
2017-02-07 08:43:02.341871 -- Unable to retweet id: 299542215292755968
2017-02-07 08:44:01.609471 -- Unable to retweet id: 299530494457020417
2017-02-07 08:44:01.738210 -- Unable to retweet id: 299530651776999424
2017-02-07 08:44:01.933816 -- Unable to retweet id: 299542215292755968
2017-02-07 08:45:02.211888 -- Unable to retweet id: 299530494457020417
2017-02-07 08:45:02.344161 -- Unable to retweet id: 299530651776999424
2017-02-07 08:45:02.471833 -- Unable to retweet id: 299542215292755968
2017-02-07 08:46:01.691156 -- Unable to retweet id: 299530494457020417
2017-02-07 08:46:01.842842 -- Unable to retweet id: 299530651776999424
2017-02-07 08:46:01.972053 -- Unable to retweet id: 299542215292755968
2017-02-07 08:47:02.192762 -- Unable to retweet id: 299530494457020417
2017-02-07 08:47:02.328895 -- Unable to retweet id: 299530651776999424
2017-02-07 08:47:02.451501 -- Unable to retweet id: 299542215292755968
2017-02-07 08:48:01.696200 -- Unable to retweet id: 299530494457020417
2017-02-07 08:48:01.823425 -- Unable to retweet id: 299530651776999424
2017-02-07 08:48:01.953487 -- Unable to retweet id: 299542215292755968
2017-02-07 08:49:02.254262 -- Unable to retweet id: 299530494457020417
2017-02-07 08:49:02.495304 -- Unable to retweet id: 299530651776999424
2017-02-07 08:49:02.631568 -- Unable to retweet id: 299542215292755968
2017-02-07 08:50:01.910264 -- Unable to retweet id: 299530494457020417
2017-02-07 08:50:02.166342 -- Unable to retweet id: 299530651776999424
2017-02-07 08:50:02.367599 -- Unable to retweet id: 299542215292755968
2017-02-07 08:51:01.581639 -- Unable to retweet id: 299530494457020417
2017-02-07 08:51:01.718299 -- Unable to retweet id: 299530651776999424
2017-02-07 08:51:01.853521 -- Unable to retweet id: 299542215292755968
2017-02-07 08:52:02.075285 -- Unable to retweet id: 299530494457020417
2017-02-07 08:52:02.204299 -- Unable to retweet id: 299530651776999424
2017-02-07 08:52:02.342834 -- Unable to retweet id: 299542215292755968
2017-02-07 08:53:01.561678 -- Unable to retweet id: 299530494457020417
2017-02-07 08:53:01.765438 -- Unable to retweet id: 299530651776999424
2017-02-07 08:53:01.900743 -- Unable to retweet id: 299542215292755968
2017-02-07 08:54:02.118094 -- Unable to retweet id: 299530494457020417
2017-02-07 08:54:02.251373 -- Unable to retweet id: 299530651776999424
2017-02-07 08:54:02.385546 -- Unable to retweet id: 299542215292755968
2017-02-07 08:55:01.622187 -- Unable to retweet id: 299530494457020417
2017-02-07 08:55:01.769713 -- Unable to retweet id: 299530651776999424
2017-02-07 08:55:01.897953 -- Unable to retweet id: 299542215292755968
2017-02-07 08:56:02.111608 -- Unable to retweet id: 299530494457020417
2017-02-07 08:56:02.242872 -- Unable to retweet id: 299530651776999424
2017-02-07 08:56:02.373104 -- Unable to retweet id: 299542215292755968
2017-02-07 08:57:01.679883 -- Unable to retweet id: 299530494457020417
2017-02-07 08:57:01.827450 -- Unable to retweet id: 299530651776999424
2017-02-07 08:57:01.954389 -- Unable to retweet id: 299542215292755968
2017-02-07 08:58:02.234004 -- Unable to retweet id: 299530494457020417
2017-02-07 08:58:02.369858 -- Unable to retweet id: 299530651776999424
2017-02-07 08:58:02.512547 -- Unable to retweet id: 299542215292755968
2017-02-07 08:59:01.726311 -- Unable to retweet id: 299530494457020417
2017-02-07 08:59:01.856104 -- Unable to retweet id: 299530651776999424
2017-02-07 08:59:01.979474 -- Unable to retweet id: 299542215292755968
2017-02-07 09:00:02.191128 -- Unable to retweet id: 299530494457020417
2017-02-07 09:00:02.372630 -- Unable to retweet id: 299530651776999424
2017-02-07 09:00:02.527546 -- Unable to retweet id: 299542215292755968
2017-02-07 09:01:01.759463 -- Unable to retweet id: 299530494457020417
2017-02-07 09:01:01.892740 -- Unable to retweet id: 299530651776999424
2017-02-07 09:01:02.025875 -- Unable to retweet id: 299542215292755968
2017-02-07 09:02:01.247518 -- Unable to retweet id: 299530494457020417
2017-02-07 09:02:01.376862 -- Unable to retweet id: 299530651776999424
2017-02-07 09:02:01.580517 -- Unable to retweet id: 299542215292755968
2017-02-07 09:03:01.806882 -- Unable to retweet id: 299530494457020417
2017-02-07 09:03:01.933038 -- Unable to retweet id: 299530651776999424
2017-02-07 09:03:02.063151 -- Unable to retweet id: 299542215292755968
2017-02-07 09:04:01.291894 -- Unable to retweet id: 299530494457020417
2017-02-07 09:04:01.434820 -- Unable to retweet id: 299530651776999424
2017-02-07 09:04:01.565877 -- Unable to retweet id: 299542215292755968
2017-02-07 09:05:01.817619 -- Unable to retweet id: 299530494457020417
2017-02-07 09:05:01.950981 -- Unable to retweet id: 299530651776999424
2017-02-07 09:05:02.082324 -- Unable to retweet id: 299542215292755968
2017-02-07 09:06:01.310506 -- Unable to retweet id: 299530494457020417
2017-02-07 09:06:01.471457 -- Unable to retweet id: 299530651776999424
2017-02-07 09:06:01.604575 -- Unable to retweet id: 299542215292755968
2017-02-07 09:07:01.827203 -- Unable to retweet id: 299530494457020417
2017-02-07 09:07:01.957548 -- Unable to retweet id: 299530651776999424
2017-02-07 09:07:02.093316 -- Unable to retweet id: 299542215292755968
2017-02-07 09:08:01.304881 -- Unable to retweet id: 299530494457020417
2017-02-07 09:08:01.499196 -- Unable to retweet id: 299530651776999424
2017-02-07 09:08:01.652462 -- Unable to retweet id: 299542215292755968
2017-02-07 09:09:01.922845 -- Unable to retweet id: 299530494457020417
2017-02-07 09:09:02.053305 -- Unable to retweet id: 299530651776999424
2017-02-07 09:09:02.182293 -- Unable to retweet id: 299542215292755968
2017-02-07 09:10:01.424530 -- Unable to retweet id: 299530494457020417
2017-02-07 09:10:01.556899 -- Unable to retweet id: 299530651776999424
2017-02-07 09:10:01.684650 -- Unable to retweet id: 299542215292755968
2017-02-07 09:11:01.905368 -- Unable to retweet id: 299530494457020417
2017-02-07 09:11:02.039646 -- Unable to retweet id: 299530651776999424
2017-02-07 09:11:02.168438 -- Unable to retweet id: 299542215292755968
2017-02-07 09:12:01.424075 -- Unable to retweet id: 299530494457020417
2017-02-07 09:12:01.558052 -- Unable to retweet id: 299530651776999424
2017-02-07 09:12:01.694599 -- Unable to retweet id: 299542215292755968
2017-02-07 09:13:01.925055 -- Unable to retweet id: 299530494457020417
2017-02-07 09:13:02.056082 -- Unable to retweet id: 299530651776999424
2017-02-07 09:13:02.188553 -- Unable to retweet id: 299542215292755968
2017-02-07 09:14:01.469897 -- Unable to retweet id: 299530494457020417
2017-02-07 09:14:01.646945 -- Unable to retweet id: 299530651776999424
2017-02-07 09:14:01.775936 -- Unable to retweet id: 299542215292755968
2017-02-07 09:15:01.997382 -- Unable to retweet id: 299530494457020417
2017-02-07 09:15:02.128758 -- Unable to retweet id: 299530651776999424
2017-02-07 09:15:02.256109 -- Unable to retweet id: 299542215292755968
2017-02-07 09:16:01.468921 -- Unable to retweet id: 299530494457020417
2017-02-07 09:16:01.604705 -- Unable to retweet id: 299530651776999424
2017-02-07 09:16:01.775307 -- Unable to retweet id: 299542215292755968
2017-02-07 09:17:01.995877 -- Unable to retweet id: 299530494457020417
2017-02-07 09:17:02.123827 -- Unable to retweet id: 299530651776999424
2017-02-07 09:17:02.258160 -- Unable to retweet id: 299542215292755968
2017-02-07 09:18:01.471837 -- Unable to retweet id: 299530494457020417
2017-02-07 09:18:01.626573 -- Unable to retweet id: 299530651776999424
2017-02-07 09:18:01.762826 -- Unable to retweet id: 299542215292755968
2017-02-07 09:19:01.986912 -- Unable to retweet id: 299530494457020417
2017-02-07 09:19:02.158824 -- Unable to retweet id: 299530651776999424
2017-02-07 09:19:02.284201 -- Unable to retweet id: 299542215292755968
2017-02-07 09:20:01.502122 -- Unable to retweet id: 299530494457020417
2017-02-07 09:20:01.631179 -- Unable to retweet id: 299530651776999424
