username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2014-01-25 16:48;2154;1096;"NBC News just called it the great freeze - coldest weather in years. Is our country still spending money on the GLOBAL WARMING HOAX?";;;;"427226424987385856";https://twitter.com/realDonaldTrump/status/427226424987385856
realDonaldTrump;2014-01-25 01:49;22;47;"" @nandigold13 : @realDonaldTrump thanks for all the inspirational tweets ..I like to.learn from the best" Thank you!";Palm Beach, FL;@nandigold13 @realDonaldTrump;;"427000138327134208";https://twitter.com/realDonaldTrump/status/427000138327134208
realDonaldTrump;2014-01-25 01:38;16;24;"" @TONYWELCH007 : @realDonaldTrump It all starts at@Trump Doral !! The best in all of the WORLD will face the test of The NewBlueMonster!";;@TONYWELCH007 @realDonaldTrump @Trump;;"426997580808351745";https://twitter.com/realDonaldTrump/status/426997580808351745
