username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2014-07-06 17:13;136;172;"" @Atlanta_Event : Negotiation tip #1: The worst thing you can possibly do in a deal is seem desperate to make it. - @realDonaldTrump "";;@Atlanta_Event @realDonaldTrump;#1;"485924422331543552";https://twitter.com/realDonaldTrump/status/485924422331543552
realDonaldTrump;2014-07-05 19:19;312;355;"" @not_that_actor : @realDonaldTrump If ever we needed someone to lead us out of this mess, now’s the time, DJ! pic.twitter.com/Q7E9myCA25 " True!";;@not_that_actor @realDonaldTrump;;"485593744075284480";https://twitter.com/realDonaldTrump/status/485593744075284480
realDonaldTrump;2014-07-05 19:17;24;50;"" @Manruss : @realDonaldTrump @BackOnTrackUSA It was "helping" Iraq that caused this problem in the first place."";;@Manruss @realDonaldTrump @BackOnTrackUSA;;"485593338142138368";https://twitter.com/realDonaldTrump/status/485593338142138368
