username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2015-03-24 17:26;15;49;"Go to @greta show - will be talking about OPO and plenty else - ENJOY!";;@greta;;"580511086648131584";https://twitter.com/realDonaldTrump/status/580511086648131584
realDonaldTrump;2015-03-24 17:23;9;15;"" @iBusinessLounge : @realDonaldTrump and Parlux Fragrances Partner To Launch Second Fragrance For Men. #iBusinessLounge #Business "";;@iBusinessLounge @realDonaldTrump;#iBusinessLounge #Business;"580510224559292416";https://twitter.com/realDonaldTrump/status/580510224559292416
realDonaldTrump;2015-03-24 17:22;8;32;"" @Belle_2016 : @greta I would vote for @realDonaldTrump for President with @marcorubio as vice president. That would work for people in Fla.";;@Belle_2016 @greta @realDonaldTrump @marcorubio;;"580509946145542145";https://twitter.com/realDonaldTrump/status/580509946145542145
realDonaldTrump;2015-03-24 17:21;15;45;"" @Jdwillms1Jeff : @realDonaldTrump You are the best choice to turn around the country."";;@Jdwillms1Jeff @realDonaldTrump;;"580509825194409984";https://twitter.com/realDonaldTrump/status/580509825194409984
realDonaldTrump;2015-03-24 17:20;20;57;"I am on @greta now!";;@greta;;"580509478543585280";https://twitter.com/realDonaldTrump/status/580509478543585280
realDonaldTrump;2015-03-24 14:40;12;34;""@josephangel247 @realDonaldTrump So true after reading the Art of the Deal #AMustReadBook #GoodAdvice "";;@josephangel247 @realDonaldTrump;#AMustReadBook #GoodAdvice;"580469212331839488";https://twitter.com/realDonaldTrump/status/580469212331839488
realDonaldTrump;2015-03-24 14:29;179;279;"Entrepreneurs: Take responsibility for yourself. It's a very empowering attitude.";;;;"580466517357260800";https://twitter.com/realDonaldTrump/status/580466517357260800
realDonaldTrump;2015-03-24 14:24;202;304;"Entrepreneurs: Trust your instincts, even after you've honed your skills. They're there for a reason.";;;;"580465343933640704";https://twitter.com/realDonaldTrump/status/580465343933640704
realDonaldTrump;2015-03-24 14:22;232;326;"Entrepreneurs: Negotiation is an art. Treat it like one.";;;;"580464780777025536";https://twitter.com/realDonaldTrump/status/580464780777025536
realDonaldTrump;2015-03-24 12:51;14;33;"With @greta in Washington, D.C. Old Post Office under construction. Tune in tonight at 7PM EST! https:// instagram.com/p/0nv7T9mhRU/";;@greta;;"580441865666850816";https://twitter.com/realDonaldTrump/status/580441865666850816
realDonaldTrump;2015-03-24 12:31;47;70;""@JJ55334767 @realDonaldTrump Please save America! The country has over $18 trillion in debt! http://www. usdebtclock.org "";;@JJ55334767 @realDonaldTrump;;"580436902500835329";https://twitter.com/realDonaldTrump/status/580436902500835329
realDonaldTrump;2015-03-24 11:45;11;39;"" @Stevieboy_63 @TalkerNewYorker @5gentexan Hi Katie, let's get Donald Trump in the WH. He's the man to get this country back in order!"";;@Stevieboy_63 @TalkerNewYorker @5gentexan;;"580425286057127937";https://twitter.com/realDonaldTrump/status/580425286057127937
realDonaldTrump;2015-03-24 11:43;16;34;"" @TalkerNewYorker @IndyBuffaloJim @greta Mr. Trump IS "Mr. NYC" Let's make him "Mr. President" I am ready to work-it to get you in!"";;@TalkerNewYorker @IndyBuffaloJim @greta;;"580424676268216321";https://twitter.com/realDonaldTrump/status/580424676268216321
realDonaldTrump;2015-03-24 11:31;11;22;"" @IndyBuffaloJim @greta I remember visiting that building a real jewel I am proud of Donald once again stepping up to make America Beautiful";;@IndyBuffaloJim @greta;;"580421783104413696";https://twitter.com/realDonaldTrump/status/580421783104413696
realDonaldTrump;2015-03-24 09:33;23;23;"Via @dcexaminer by @eScarry : “Donald Trump: @HuffingtonPost 'a very dishonest organization'” http://www. washingtonexaminer.com/donald-trump-h uffington-post-a-very-dishonest-organization/article/2561926 …";;@dcexaminer @eScarry @HuffingtonPost;;"580392112396599296";https://twitter.com/realDonaldTrump/status/580392112396599296
realDonaldTrump;2015-03-24 08:59;37;61;"My @FoxNews @megynkelly int. on why I am considering running for POTUS, negotiations & making America great again http:// video.foxnews.com/v/413044929100 1/donald-trump-i-want-to-see-this-country-be-great-again/?#sp=show-clips …";;@FoxNews @megynkelly;#sp;"580383446507352064";https://twitter.com/realDonaldTrump/status/580383446507352064
realDonaldTrump;2015-03-24 08:23;17;44;"" @MauiJano You have my presidential vote! We need an assertive person like you to bring back respect and financial repair to America!" Thx";;@MauiJano;;"580374395023163392";https://twitter.com/realDonaldTrump/status/580374395023163392
