username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2013-03-18 17:59;161;175;"" @kmac5911 : who would win on the golf course @realDonaldTrump or @mcuban " Did you ever see Mark swing a club - the power of a little girl!";;@kmac5911 @realDonaldTrump @mcuban;;"313801831392374785";https://twitter.com/realDonaldTrump/status/313801831392374785
realDonaldTrump;2013-03-18 17:55;4;2;"@Cleggermeister Thank you!";;@Cleggermeister;;"313800981366325248";https://twitter.com/realDonaldTrump/status/313800981366325248
realDonaldTrump;2013-03-18 17:51;1;0;"@ReederJosh You are right, he is a total joke - his players laugh at him!";;@ReederJosh;;"313799951467565056";https://twitter.com/realDonaldTrump/status/313799951467565056
realDonaldTrump;2013-03-18 17:41;14;11;"@dan_kir96 Dan, because I love beating lowlifes!";;@dan_kir96;;"313797331885629440";https://twitter.com/realDonaldTrump/status/313797331885629440
realDonaldTrump;2013-03-18 17:28;0;2;"@HRdiva_NY Thanks Tanja!";;@HRdiva_NY;;"313793948218966016";https://twitter.com/realDonaldTrump/status/313793948218966016
realDonaldTrump;2013-03-18 16:41;0;1;"@babyguts666 Thanks!";;@babyguts666;;"313782128565432321";https://twitter.com/realDonaldTrump/status/313782128565432321
realDonaldTrump;2013-03-18 16:30;8;7;"" @STAR13R : @realDonaldTrump What a show last night! I couldn't believe the outcome! C.A. has been my fave show for a long time!" Great!";;@STAR13R @realDonaldTrump;;"313779382110023680";https://twitter.com/realDonaldTrump/status/313779382110023680
realDonaldTrump;2013-03-18 16:27;68;38;""@Ashbash032: @realDonaldTrump don't waste time on your haters!Let them hate, you keep building your empire #respect #jealoushaters " Great!";;@Ashbash032 @realDonaldTrump;#respect #jealoushaters;"313778613000491008";https://twitter.com/realDonaldTrump/status/313778613000491008
realDonaldTrump;2013-03-18 16:06;36;19;"" @OWhiting147 : @realDonaldTrump we know you hate Mark Cuban but what are your feelings on Kevin O'Leary?" Never heard of him!";;@OWhiting147 @realDonaldTrump;;"313773437342584832";https://twitter.com/realDonaldTrump/status/313773437342584832
realDonaldTrump;2013-03-18 15:56;27;41;"Apprentice ratings doing great - easily won the 10 o'clock hour over other networks!";;;;"313771018525241344";https://twitter.com/realDonaldTrump/status/313771018525241344
realDonaldTrump;2013-03-18 15:43;34;25;"" @ThisNBAgirl : @realDonaldTrump You are not as smart as Mark Cuban, no matter what you think. Keep to what you know. Lets do an I.Q. test!";;@ThisNBAgirl @realDonaldTrump;;"313767716878159873";https://twitter.com/realDonaldTrump/status/313767716878159873
realDonaldTrump;2013-03-18 15:39;257;232;""@n_vranas: @realDonaldTrump @dallasmavs @okcthunder ur a pussy trump @mcuban is way richer than you" Not even close, dummy!";;@n_vranas @realDonaldTrump @dallasmavs @okcthunder @mcuban;;"313766543899115521";https://twitter.com/realDonaldTrump/status/313766543899115521
