username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2014-04-25 17:01;469;530;"President Obama is losing on so many fronts, in fact all fronts, that I am concerned he will do something totally irrational. He can't lead!";;;;"459829499795099649";https://twitter.com/realDonaldTrump/status/459829499795099649
realDonaldTrump;2014-04-25 16:12;154;122;"Isn't it ironic that China is going all in nuclear for energy while at the same time making wind turbines for others. @alexsalmond";;@alexsalmond;;"459817313408417792";https://twitter.com/realDonaldTrump/status/459817313408417792
realDonaldTrump;2014-04-25 16:07;24;42;"" @warrencasselljr : @realDonaldTrump is the world's greatest developer. He's the Rockefeller of this generation." Thank you!";;@warrencasselljr @realDonaldTrump;;"459816034762231809";https://twitter.com/realDonaldTrump/status/459816034762231809
realDonaldTrump;2014-04-25 12:59;415;382;"If you have passion, confidence, resilience, & vision, you could become an entrepreneur. Add focus to the list & you're off to a good start";;;;"459768632994967552";https://twitter.com/realDonaldTrump/status/459768632994967552
realDonaldTrump;2014-04-25 10:05;26;34;"The only @Forbes Five-Star & @fivediamond hotel in NYC, @TrumpNewYork is the definition of luxury http:// bit.ly/17oyxh1 The Best!";;@Forbes @fivediamond @TrumpNewYork;;"459724910924165120";https://twitter.com/realDonaldTrump/status/459724910924165120
realDonaldTrump;2014-04-25 09:25;15;22;"" @61yellowjacket Love @TheApprentice inspirational, awesome businessman, teacher, & great role model for all generations" Thank you.";;@61yellowjacket @TheApprentice;;"459714753959854080";https://twitter.com/realDonaldTrump/status/459714753959854080
realDonaldTrump;2014-04-25 05:15;310;287;"We allow Japan to sell us millions of cars with zero import tax and we can't make a trade deal with them - our country is in big trouble!";;;;"459651891044311040";https://twitter.com/realDonaldTrump/status/459651891044311040
realDonaldTrump;2014-04-25 05:10;24;51;""@obio @realDonaldTrump of course we have cards. Unfortunately we also have a community organizer, not a seasoned businessman as president!"";Florida, USA;@obio @realDonaldTrump;;"459650612804988928";https://twitter.com/realDonaldTrump/status/459650612804988928
realDonaldTrump;2014-04-25 05:08;20;36;""@RamKindaGuy: @realDonaldTrump speaks the truth #TrumpForPrez2016 "";Florida, USA;@RamKindaGuy @realDonaldTrump;#TrumpForPrez2016;"459650106095333376";https://twitter.com/realDonaldTrump/status/459650106095333376
realDonaldTrump;2014-04-25 05:08;14;36;""@BossBuza: @realDonaldTrump for president!"";Florida, USA;@BossBuza @realDonaldTrump;;"459650065574133760";https://twitter.com/realDonaldTrump/status/459650065574133760
realDonaldTrump;2014-04-25 05:05;82;104;"" @yune_dwi2 : "Without passion, you don't have energy; without energy, you have nothing." - Donald Trump" SO TRUE!";;@yune_dwi2;;"459649305746620416";https://twitter.com/realDonaldTrump/status/459649305746620416
realDonaldTrump;2014-04-25 04:56;24;50;"" @dallasnews : Ex-Cowboys RB Herschel Walker: Like Jerry Jones, Donald Trump would be a great NFL owner. @nflcommish";Florida, USA;@dallasnews @nflcommish;;"459647254476111872";https://twitter.com/realDonaldTrump/status/459647254476111872
realDonaldTrump;2014-04-25 04:52;522;447;"" @blissfuldestiny : @realDonaldTrump is always right when it comes to political views!! Pro Trump pic.twitter.com/k7Duc7wpMV "";;@blissfuldestiny @realDonaldTrump;;"459646140133421056";https://twitter.com/realDonaldTrump/status/459646140133421056
realDonaldTrump;2014-04-25 04:44;17;40;"" @murciahole13 : @realDonaldTrump sir, our country could be great once more with you as President. You're hired!" Thanks!";;@murciahole13 @realDonaldTrump;;"459644219922345985";https://twitter.com/realDonaldTrump/status/459644219922345985
realDonaldTrump;2014-04-25 04:43;44;83;"N.Y.Times headline states Obama suffers setbacks in Japan trade deal. Can somebody please tell him that with all they sell us, WE HAVE CARDS";;;;"459643811040600064";https://twitter.com/realDonaldTrump/status/459643811040600064
realDonaldTrump;2014-04-24 20:15;20;28;"" @RustyWallace : @GregWallace66 @Trump_Charlotte @NASCAR_FDN Thanks-I'm really looking forward to it. You have a beautiful course!"";New York, USA;@RustyWallace @GregWallace66 @Trump_Charlotte @NASCAR_FDN;;"459515920063664128";https://twitter.com/realDonaldTrump/status/459515920063664128
realDonaldTrump;2014-04-24 20:13;28;53;"" @mc People need to start looking up to the real Role models Such as Donald Trump and Warren Buffett........ @realDonaldTrump @WarrenBuffett "";;@mc @realDonaldTrump @WarrenBuffett;;"459515451576680448";https://twitter.com/realDonaldTrump/status/459515451576680448
