username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2013-05-12 16:44;308;370;"I AM PLEASED TO INFORM YOU THAT CELEBRITY APPRENTICE HAS BEEN RENEWED FOR ANOTHER SEASON BY NBC. SEE YOU AT THE NBC UPFRONTS TOMORROW.";;;;"333714410088566784";https://twitter.com/realDonaldTrump/status/333714410088566784
realDonaldTrump;2013-05-12 16:22;12;7;""@CRCalderwood1: @realDonaldTrump What are your thoughts on Sergio?" A great guy!";;@CRCalderwood1 @realDonaldTrump;;"333708675170590721";https://twitter.com/realDonaldTrump/status/333708675170590721
realDonaldTrump;2013-05-12 16:20;15;11;"" @scienceinvestme : @realDonaldTrump hows this 4 gratitude 4saving their neck?Kuwait Airways 2 spend near $3B on 25 Airbus jets.";;@scienceinvestme @realDonaldTrump;;"333708271980523520";https://twitter.com/realDonaldTrump/status/333708271980523520
realDonaldTrump;2013-05-12 16:15;0;0;"@leechsam Thanks Sam, and it's doing great!";;@leechsam;;"333707085919428608";https://twitter.com/realDonaldTrump/status/333707085919428608
realDonaldTrump;2013-05-12 16:07;6;4;"" @JUrciuoli19 : @realDonaldTrump please say it isn't so and Apprentice is not cancelled" Thanks and sleep well tonight!";;@JUrciuoli19 @realDonaldTrump;;"333704973621813248";https://twitter.com/realDonaldTrump/status/333704973621813248
realDonaldTrump;2013-05-12 16:04;30;35;"" @CunninghamNY : . @realDonaldTrump clearly needs to run for president! Don't think anyone else can get us on the right track but him!"";;@CunninghamNY @realDonaldTrump;;"333704233385881600";https://twitter.com/realDonaldTrump/status/333704233385881600
realDonaldTrump;2013-05-12 16:01;44;35;"You will love Celebrity Apprentice tonight - 9 PM on NBC. Must watch from beginning - two early firings!";;;;"333703387675770880";https://twitter.com/realDonaldTrump/status/333703387675770880
realDonaldTrump;2013-05-12 15:56;40;32;"Two people fired very early on Celebrity Apprentice tonight at 9 leading up to next weeks live Finale. Don't get angry at me tonight!";;;;"333702182371196928";https://twitter.com/realDonaldTrump/status/333702182371196928
realDonaldTrump;2013-05-12 15:11;1;0;"@RoySchuhmacher Thanks!";;@RoySchuhmacher;;"333690966936526848";https://twitter.com/realDonaldTrump/status/333690966936526848
realDonaldTrump;2013-05-12 15:09;8;8;"" @RoySchuhmacher : @samahDanash I own a fitness business all over the the Bay Area on CA. So @realDonaldTrump has been a HUGE motivator."";;@RoySchuhmacher @samahDanash @realDonaldTrump;;"333690340567560192";https://twitter.com/realDonaldTrump/status/333690340567560192
realDonaldTrump;2013-05-12 15:07;93;79;"Watching @TigerWoods on NBC playing great golf. Tiger won The WGC Cadillac Championship at Trump National Doral this year. I love Tiger!";;@TigerWoods;;"333689950967066625";https://twitter.com/realDonaldTrump/status/333689950967066625
realDonaldTrump;2013-05-12 14:25;17;4;"" @Brock2120 : @sethmeyers Your first guest has to be @realDonaldTrump . would be epic!" First guest for what?";;@Brock2120 @sethmeyers @realDonaldTrump;;"333679378154274816";https://twitter.com/realDonaldTrump/status/333679378154274816
realDonaldTrump;2013-05-12 14:24;0;0;"@PhilipMorrow That would be great Philip!";;@PhilipMorrow;;"333679037853622273";https://twitter.com/realDonaldTrump/status/333679037853622273
realDonaldTrump;2013-05-12 05:51;30;15;""@MatthewSmales1: @realDonaldTrump is a great American a role model to many read all of his books been a fan since he was in wwe a great guy";;@MatthewSmales1 @realDonaldTrump;;"333549982604988416";https://twitter.com/realDonaldTrump/status/333549982604988416
realDonaldTrump;2013-05-12 01:50;14;8;"" @chris_l54 : @SPORTSGURU77 @tweetontilt @realdonaldtrump @mcuban If you real Art of the Deal, you'd know that Donald did it all on his own."";;@chris_l54 @SPORTSGURU77 @tweetontilt @realdonaldtrump @mcuban;;"333489326665125888";https://twitter.com/realDonaldTrump/status/333489326665125888
realDonaldTrump;2013-05-12 01:44;27;23;"" @samahDanash : Think big is the most amazing book I have ever read. @realDonaldTrump "";;@samahDanash @realDonaldTrump;;"333487820956123136";https://twitter.com/realDonaldTrump/status/333487820956123136
realDonaldTrump;2013-05-12 01:43;18;12;"" @samahDanash : Every time I read a chapter it gives me a push and brings positive energy to my life. Think big @realDonaldTrump "";;@samahDanash @realDonaldTrump;;"333487576470147072";https://twitter.com/realDonaldTrump/status/333487576470147072
realDonaldTrump;2013-05-12 01:10;15;13;"" @71Kristine : @realDonaldTrump Thank you for Fund Anything Mr. Trump you know how to help people in all the right ways. With hope"";;@71Kristine @realDonaldTrump;;"333479248205582336";https://twitter.com/realDonaldTrump/status/333479248205582336
realDonaldTrump;2013-05-12 01:06;17;13;"" @TonyChalk1 : @realDonaldTrump is a role model for how to be successful. I've been a fan since "Art of the Deal"came out in paperback."";;@TonyChalk1 @realDonaldTrump;;"333478285377957888";https://twitter.com/realDonaldTrump/status/333478285377957888
realDonaldTrump;2013-05-11 21:23;0;1;"@chris_l54 Thanks Chris - they know the real facts but don't choose to use them-very dishonest!";;@chris_l54;;"333422024892510208";https://twitter.com/realDonaldTrump/status/333422024892510208
realDonaldTrump;2013-05-11 21:16;1;0;"@QFiveFarms Thanks and true!";;@QFiveFarms;;"333420498107121665";https://twitter.com/realDonaldTrump/status/333420498107121665
