username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2015-03-20 14:27;39;45;". @MiamiHerald discusses our @TrumpCollection #TrumpPets program @TrumpDoral : http:// hrld.us/1CDCf6g";;@MiamiHerald @TrumpCollection @TrumpDoral;#TrumpPets;"579016355116101632";https://twitter.com/realDonaldTrump/status/579016355116101632
realDonaldTrump;2015-03-20 14:00;7;21;"" @dulcifybp @seajay2uk @realDonaldTrump @VisitAyrshire what a great credit to Donald Trump" Thanks.";;@dulcifybp @seajay2uk @realDonaldTrump @VisitAyrshire;;"579009733673250816";https://twitter.com/realDonaldTrump/status/579009733673250816
realDonaldTrump;2015-03-20 13:20;8;27;"" @SamDoyle12 @realDonaldTrump Thanks for the quotes today---a month away of starting my own business #helpful " Good luck.";;@SamDoyle12 @realDonaldTrump;#helpful;"578999617527898112";https://twitter.com/realDonaldTrump/status/578999617527898112
realDonaldTrump;2015-03-20 12:38;486;503;"Success is not final, failure is not fatal: it is the courage to continue that counts. -- Winston Churchill";;;;"578989025396154368";https://twitter.com/realDonaldTrump/status/578989025396154368
realDonaldTrump;2015-03-20 11:52;31;72;"" @RaffleWinner @realDonaldTrump I can't decide if you will be a great President or the GREATEST President! #Trump2016 "";;@RaffleWinner @realDonaldTrump;#Trump2016;"578977458776633344";https://twitter.com/realDonaldTrump/status/578977458776633344
realDonaldTrump;2015-03-20 10:07;212;283;"Entrepreneurs: Let your actions show that you're the best. See each day as an opportunity to show you can do business at the highest level.";;;;"578951084967751681";https://twitter.com/realDonaldTrump/status/578951084967751681
realDonaldTrump;2015-03-20 10:06;156;230;"Entrepreneurs: Learn to be succinct. Can you tell someone your idea in three minutes or less? Be clear and concise.";;;;"578950793874829312";https://twitter.com/realDonaldTrump/status/578950793874829312
realDonaldTrump;2015-03-20 09:50;205;257;"Entrepreneurs: Set the example, and you'll be a magnet for the right people. That's the best way to work with people you like.";;;;"578946794337497088";https://twitter.com/realDonaldTrump/status/578946794337497088
realDonaldTrump;2015-03-20 09:24;9;32;"Trump National Golf Club Los Angeles fronts the Pacific Ocean and has an 18 hole Pete Dye course. Beautiful! http://www. trump.com/Golf_Clubs/Los _Angeles/Los_Angeles.asp …";;;;"578940178204647424";https://twitter.com/realDonaldTrump/status/578940178204647424
realDonaldTrump;2015-03-20 09:09;16;42;"" @moniquehorsey I really love and admire @realDonaldTrump 's high level of work ethic & motivation. Very inspiring to entrepreneurs!" Thanks";;@moniquehorsey @realDonaldTrump;;"578936397744250880";https://twitter.com/realDonaldTrump/status/578936397744250880
realDonaldTrump;2015-03-20 09:00;7;29;"" @zaneypeterson @realDonaldTrump you have my vote!"";;@zaneypeterson @realDonaldTrump;;"578934243193200640";https://twitter.com/realDonaldTrump/status/578934243193200640
