username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2012-09-12 14:39;554;47;"Our $16T national debt is now bigger than our $15T GDP. If Obama is re-elected watch for an economic meltdown in 2013.";;;;"245985117271642112";https://twitter.com/realDonaldTrump/status/245985117271642112
realDonaldTrump;2012-09-12 14:20;649;85;"Deja vu - I can remember a time when our embassies were stormed under another failed President. Obama=Carter.";;;;"245980291775209474";https://twitter.com/realDonaldTrump/status/245980291775209474
realDonaldTrump;2012-09-12 14:16;478;71;"I guess Obama's Cairo Speech really worked out. The Muslim Brotherhood stormed our embassy on 9.11. Imagine if Obama speaks in Beijing?";;;;"245979296273928192";https://twitter.com/realDonaldTrump/status/245979296273928192
realDonaldTrump;2012-09-12 14:04;227;36;""Those who refuse to draw red line to Iran don't have the moral right to put a red line to @Israel ." -- @IsraeliPM @netanyahu";;@Israel @IsraeliPM @netanyahu;;"245976292732846080";https://twitter.com/realDonaldTrump/status/245976292732846080
realDonaldTrump;2012-09-12 13:49;156;21;"No surprise. @DNC displayed Russian ships in tribute to vets http:// bit.ly/RJMcla Did they mean to honor the Russians?";;@DNC;;"245972395532365824";https://twitter.com/realDonaldTrump/status/245972395532365824
realDonaldTrump;2012-09-12 13:46;749;151;"Obama will go down as the worst President in history on many topics but especially foreign policy.";;;;"245971629090426882";https://twitter.com/realDonaldTrump/status/245971629090426882
realDonaldTrump;2012-09-12 13:40;186;28;""It's disgraceful that the Obama Administration's first response was not to condemn attacks on our diplomatic (cont) http:// tl.gd/j90h7r";;;;"245970051230998530";https://twitter.com/realDonaldTrump/status/245970051230998530
realDonaldTrump;2012-09-12 13:18;867;108;"So Obama can host the Muslim Brotherhood Pres. Morsi in the White House http:// bit.ly/NzbfaN but doesn't have time for @netanyahu ?";;@netanyahu;;"245964708111331329";https://twitter.com/realDonaldTrump/status/245964708111331329
realDonaldTrump;2012-09-12 13:13;255;27;"OPEC will use yesterday's attacks on our embassies to raise the price of gas. They are always ripping us off.";;;;"245963239547097089";https://twitter.com/realDonaldTrump/status/245963239547097089
realDonaldTrump;2012-09-12 13:08;172;22;"It's Wednesday, how many more of our embassies will be stormed by Islamists?";;;;"245962060964454400";https://twitter.com/realDonaldTrump/status/245962060964454400
realDonaldTrump;2012-09-12 13:05;333;72;"What did we get for fighting in Libya besides a dead Ambassador. Demand their oil.";;;;"245961358473048066";https://twitter.com/realDonaldTrump/status/245961358473048066
realDonaldTrump;2012-09-12 13:00;363;49;"As bad as they were, I don't remember our embassies being attacked when Mubarak and Gaddafi were in power.";;;;"245960182306336769";https://twitter.com/realDonaldTrump/status/245960182306336769
realDonaldTrump;2012-09-12 12:46;158;15;"The Middle East is blowing up--we didn't back Egypt and now they riot against us. Iran is using Iraqi airspace, (cont) http:// tl.gd/j90908";;;;"245956504191131649";https://twitter.com/realDonaldTrump/status/245956504191131649
realDonaldTrump;2012-09-12 12:42;477;81;"Obama is a disaster at foreign policy. Never had the experience or knowledge. He is not capable of doing the job.";;;;"245955590147424256";https://twitter.com/realDonaldTrump/status/245955590147424256
realDonaldTrump;2012-09-12 12:41;284;37;"Libya is selling its oil to China--I notice the Chinese Ambassador is very safe.";;;;"245955293786279936";https://twitter.com/realDonaldTrump/status/245955293786279936
realDonaldTrump;2012-09-12 12:40;646;491;"I always said the people we fought for in Libya were bad news. Once again, I was right.";;;;"245954982300495872";https://twitter.com/realDonaldTrump/status/245954982300495872
realDonaldTrump;2012-09-12 11:46;344;52;"Obama doesn't know what he's doing. His foreign policy is a disaster. Libya, Egypt, Iraq, Afghanistan--all (cont) http:// tl.gd/j8vshg";;;;"245941417355116544";https://twitter.com/realDonaldTrump/status/245941417355116544
realDonaldTrump;2012-09-12 09:23;445;65;"An attack on our Embassy is an attack on our soil. We have been attacked by Libya. Go into Libya & take the (cont) http:// tl.gd/j8ubvq";;;;"245905556018188289";https://twitter.com/realDonaldTrump/status/245905556018188289
realDonaldTrump;2012-09-12 09:10;1361;197;"We fight to free Libya and they kill our Ambassador and other Americans. Obama's foreign policy is a joke.";;;;"245902265922224128";https://twitter.com/realDonaldTrump/status/245902265922224128
realDonaldTrump;2012-09-12 08:05;274;80;"When will Obama next go on vacation if he wins the election? The day after.";;;;"245885754939691009";https://twitter.com/realDonaldTrump/status/245885754939691009
realDonaldTrump;2012-09-12 07:24;68;21;""I've read many books about China over the decades. I know the Chinese and made a lot of money with them." The Art of the Deal";;;;"245875612038877184";https://twitter.com/realDonaldTrump/status/245875612038877184
realDonaldTrump;2012-09-12 06:51;191;38;"Why is the Pentagon wasting precious dollars on going 'green.' Complete waste. We need the best & easiest fuel for our military.";;;;"245867127804932096";https://twitter.com/realDonaldTrump/status/245867127804932096
