username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2014-10-22 14:49;81;86;"#TrumpVlog Free our Marine! http:// instagram.com/p/ueAGkYmhR2/";;;#TrumpVlog;"525026122770042880";https://twitter.com/realDonaldTrump/status/525026122770042880
realDonaldTrump;2014-10-22 14:25;100;107;"Alison Grimes supports harsh restrictions to kill coal industry & supports Obama's anti-gun legislation. Vote @Team_Mitch !";;@Team_Mitch;;"525020053230850049";https://twitter.com/realDonaldTrump/status/525020053230850049
realDonaldTrump;2014-10-22 13:15;56;52;"Liberal SD Dem candidate Rick Weiland wants to expand ObamaCare to single payer & opposes Ebola travel ban. Send @RoundsforSenate to Senate!";;@RoundsforSenate;;"525002407554871296";https://twitter.com/realDonaldTrump/status/525002407554871296
realDonaldTrump;2014-10-22 12:53;94;90;"“Dem candidates are all folks who vote with me.” – Barack Obama describing ALL Democrat Senate candidates";;;;"524997017530277889";https://twitter.com/realDonaldTrump/status/524997017530277889
realDonaldTrump;2014-10-22 12:38;18;28;"Via @Mediaite by @evanmcmurry : “Trump Calls @AGSchneiderman a Cokehead” http://www. mediaite.com/online/trump-c alls-new-york-ag-a-cokehead/ … Schneiderman is by his own admission!";;@Mediaite @evanmcmurry @AGSchneiderman;;"524993240777637888";https://twitter.com/realDonaldTrump/status/524993240777637888
realDonaldTrump;2014-10-22 12:14;36;47;"Congratulations to @DLoesch on the release of her great new book #HandsOffMyGun ! Check out @TheBlazeBooks excerpt http://www. theblaze.com/blog/2014/10/2 1/a-blaze-books-exclusive-excerpt-from-dana-loeschs-new-hands-off-my-gun/ …";;@DLoesch @TheBlazeBooks;#HandsOffMyGun;"524987203345469441";https://twitter.com/realDonaldTrump/status/524987203345469441
realDonaldTrump;2014-10-22 11:15;9;22;"Via @reviewjournal “Event offers glimpse of Trump high life” by Holly Ivy Dore http://www. reviewjournal.com/real-estate-mi llions/event-offers-glimpse-trump-high-life … Great interview @EricTrump !";;@reviewjournal @EricTrump;;"524972419170455552";https://twitter.com/realDonaldTrump/status/524972419170455552
realDonaldTrump;2014-10-22 10:40;114;173;"If Mitt Romney were in the private sector & he suffered the horrendous loss of 2012, do you think he’d rehire himself for 2016?—I don’t!";;;;"524963465904291840";https://twitter.com/realDonaldTrump/status/524963465904291840
realDonaldTrump;2014-10-22 10:29;4732;4314;"An interesting cartoon that is circulating. pic.twitter.com/OPG2R2ytkr";;;;"524960640117780480";https://twitter.com/realDonaldTrump/status/524960640117780480
realDonaldTrump;2014-10-22 09:47;34;117;"Later today I’m being honored at the Park Hyatt in Washington, D.C. by the Wharton Club. The Joseph Wharton Award Dinner. A great honor.";;;;"524950176914735104";https://twitter.com/realDonaldTrump/status/524950176914735104
realDonaldTrump;2014-10-22 09:03;31;46;"#TrumpVlog South African justice- http:// instagram.com/p/udYbk5mhSi/";;;#TrumpVlog;"524938979058384897";https://twitter.com/realDonaldTrump/status/524938979058384897
realDonaldTrump;2014-10-22 07:42;24;51;"Ben Bradlee was truly one of the greats. What an amazing life he led. My warmest condolences to Dino & the whole family. #BenBradlee";;;#BenBradlee;"524918760462123008";https://twitter.com/realDonaldTrump/status/524918760462123008
realDonaldTrump;2014-10-22 06:17;35;245;"I'm going to D.C. today to check on the hotel I'm building on Penn. AVE., and then being honored by the Wharton School of Finance, the BEST!";;;;"524897413581271040";https://twitter.com/realDonaldTrump/status/524897413581271040
realDonaldTrump;2014-10-22 05:40;854;1191;"Why are we letting the three girls, who left the U.S. to join ISIS, back into the country? How stupid has our once respected country become!";;;;"524888012522815488";https://twitter.com/realDonaldTrump/status/524888012522815488
realDonaldTrump;2014-10-22 02:14;191;289;"If there is one more Ebola case in the U.S., a full travel ban will be instituted. This common sense move should have been done long ago!";;;;"524836291964575744";https://twitter.com/realDonaldTrump/status/524836291964575744
realDonaldTrump;2014-10-21 18:15;33;77;"" @rrogers19 : Please save this country. @realDonaldTrump "";;@rrogers19 @realDonaldTrump;;"524715579048218624";https://twitter.com/realDonaldTrump/status/524715579048218624
realDonaldTrump;2014-10-21 18:14;28;71;""@BeyerTristen: @realDonaldTrump A man of business and success, please run for president and fix this country "";;@BeyerTristen @realDonaldTrump;;"524715369815355392";https://twitter.com/realDonaldTrump/status/524715369815355392
realDonaldTrump;2014-10-21 18:09;27;91;"" @alyssatomazin44 : @realDonaldTrump seriously needs to run for president "";;@alyssatomazin44 @realDonaldTrump;;"524714080100421632";https://twitter.com/realDonaldTrump/status/524714080100421632
realDonaldTrump;2014-10-21 18:08;44;83;"" @Electric988 : A smart, POWERFUL, and SUCCESSFUL man like Donald Trump would be the ideal president. We need you Mr. Trump! #Trump2016 "";;@Electric988;#Trump2016;"524713749748666369";https://twitter.com/realDonaldTrump/status/524713749748666369
