username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2013-01-02 14:53;139;46;". @RGIII & @DangeRussWilson & Luck are very special players--will be great playoff games.";;@RGIII @DangeRussWilson;;"286591089958326273";https://twitter.com/realDonaldTrump/status/286591089958326273
realDonaldTrump;2013-01-02 13:50;617;229;"“If you strike out, nobody is going to help you--not your friends, not the government. You have to look to look out for yourself.”-Think Big";;;;"286575092182433792";https://twitter.com/realDonaldTrump/status/286575092182433792
realDonaldTrump;2013-01-02 13:12;56;25;"New York City hosted over 52 million visitors in 2012. http:// bit.ly/XizBi9 Record amount visited Trump Tower.";;;;"286565554196721665";https://twitter.com/realDonaldTrump/status/286565554196721665
realDonaldTrump;2013-01-02 13:02;317;116;"Congrats to @GovernorCorbett --he's right to be suing @NCAA over the ridiculous deal made by the trustees of Penn State http:// reut.rs/XiuVJ6";;@GovernorCorbett @NCAA;;"286563201070551041";https://twitter.com/realDonaldTrump/status/286563201070551041
realDonaldTrump;2013-01-02 12:27;392;83;"This ‘deal’ @RNC voted for has $41 in tax increases for every $1 in spending cuts. It is pathetic. Obama is laughing at them.";;@RNC;;"286554233556316160";https://twitter.com/realDonaldTrump/status/286554233556316160
realDonaldTrump;2013-01-02 12:23;184;55;"Make sure you realize that this ‘deal’ is only a stop gap measure.Obama will be looking to raise even more taxes in the coming negotiation..";;;;"286553351993303040";https://twitter.com/realDonaldTrump/status/286553351993303040
realDonaldTrump;2013-01-02 12:23;283;134;"...Remember--I told you so.";;;;"286553271890497536";https://twitter.com/realDonaldTrump/status/286553271890497536
realDonaldTrump;2013-01-02 12:18;767;120;"Obama's deal raises taxes on 77% of national households. With Obama Care taxes kicking in now, everyone will be paying for his 2nd term.";;;;"286552014480084994";https://twitter.com/realDonaldTrump/status/286552014480084994
realDonaldTrump;2013-01-02 12:17;111;34;"Medicare payments have become so unpredictable that record amount of doctors are now leaving http:// onforb.es/XixSJD Bad for long term.";;;;"286551774553317377";https://twitter.com/realDonaldTrump/status/286551774553317377
realDonaldTrump;2013-01-02 12:02;0;0;"@SharonDepp Thanks--and Happy New Year to you.";;@SharonDepp;;"286548001818816512";https://twitter.com/realDonaldTrump/status/286548001818816512
realDonaldTrump;2013-01-02 11:40;72;26;"Via @HuffPostPol : “Donald Trump: 'Republicans May Be The Worst Negotiators In History'” http://www. huffingtonpost.com/2013/01/01/don ald-trump-republicans_n_2392960.html …";;@HuffPostPol;;"286542442193383426";https://twitter.com/realDonaldTrump/status/286542442193383426
realDonaldTrump;2013-01-02 11:36;106;36;". @GOP ’s election loss and failed negotiations will serve as a case study in how third parties come about.";;@GOP;;"286541392921120769";https://twitter.com/realDonaldTrump/status/286541392921120769
realDonaldTrump;2013-01-02 11:27;232;103;"The Republicans must face reality & create a strong & positive immigration policy--if not they will continue to lose elections.";;;;"286539154005835776";https://twitter.com/realDonaldTrump/status/286539154005835776
realDonaldTrump;2013-01-02 11:10;290;107;"“If we get tough and make the hard choices, we can make America a rich nation—and respected—once again.” – Time to Get Tough";;;;"286534968182714368";https://twitter.com/realDonaldTrump/status/286534968182714368
realDonaldTrump;2013-01-02 10:45;164;107;"Congratulations to @RobinRoberts on celebrating 100 days in her bone marrow transplant recovery. Robin is a special person.";;@RobinRoberts;;"286528544958455808";https://twitter.com/realDonaldTrump/status/286528544958455808
realDonaldTrump;2013-01-02 10:42;116;54;"“I always follow my own instincts, but I am not going to kid you: it’s also nice to get good reviews.” - The Art of the Deal";;;;"286527813597679616";https://twitter.com/realDonaldTrump/status/286527813597679616
realDonaldTrump;2013-01-02 10:32;48;48;""Donald Trump praises @LilJon and welcomes him back to All Star @CelebApprentice " http:// bit.ly/Xit0Ek via @HipHopNews24x7";;@LilJon @CelebApprentice @HipHopNews24x7;;"286525276907790336";https://twitter.com/realDonaldTrump/status/286525276907790336
realDonaldTrump;2013-01-02 10:01;34;19;"The party of the year in Palm Beach was the New Year's Eve celebration at the Mar-a-Lago Club--it was amazing. http://www. maralagoclub.com /";;;;"286517602568790016";https://twitter.com/realDonaldTrump/status/286517602568790016
realDonaldTrump;2013-01-02 09:55;28;25;"My @foxandfriends interview from Monday discussing Obama’s tone, going over the curb and Republican debt ceiling card http:// bit.ly/Ug9mEi";;@foxandfriends;;"286516096201269248";https://twitter.com/realDonaldTrump/status/286516096201269248
realDonaldTrump;2013-01-02 07:57;238;108;"Does any Republican have the ability to negotiate?";;;;"286486441092079617";https://twitter.com/realDonaldTrump/status/286486441092079617
realDonaldTrump;2013-01-02 07:56;463;172;"This is a terrible deal for the country and an embarrassment for Republicans!";;;;"286486041836265473";https://twitter.com/realDonaldTrump/status/286486041836265473
