username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2015-04-07 05:38;197;337;"Wow, the respected Monmouth University poll has me ahead of most Republican candidates nationwide, and most people don't think I'm running!";Manhattan, NY;;;"585406176541728768";https://twitter.com/realDonaldTrump/status/585406176541728768
realDonaldTrump;2015-04-06 21:42;220;357;"Many journalists are honest and great - but some are knowingly dishonest and basic scum. They should.be weeded out!";Manhattan, NY;;;"585286465183178752";https://twitter.com/realDonaldTrump/status/585286465183178752
realDonaldTrump;2015-04-06 21:22;106;162;"" @laurasgoldman : . @realDonaldTrump why is it necessary to comment on . @ariannahuff looks? Because she is a dog who wrongfully comments on me";;@laurasgoldman @realDonaldTrump @ariannahuff;;"585281558816370690";https://twitter.com/realDonaldTrump/status/585281558816370690
realDonaldTrump;2015-04-06 21:19;114;178;"" @tarashuman : DonaldTrump Thank you so much for your amazing HOPE message!!! I'm so grateful. #hopeisagoodbreakfast pic.twitter.com/H3ts8iFuNe";Manhattan, NY;@tarashuman;#hopeisagoodbreakfast;"585280741409431553";https://twitter.com/realDonaldTrump/status/585280741409431553
realDonaldTrump;2015-04-06 20:33;33;76;"" @Reedgs119 : @realdonaldtrump @cleopattrausa Donald you are the next Ronald Reagan. Make America great again." Thank you.";Manhattan, NY;@Reedgs119 @realdonaldtrump @cleopattrausa;;"585269105068007424";https://twitter.com/realDonaldTrump/status/585269105068007424
realDonaldTrump;2015-04-06 20:32;11;36;"" @kzieff : @realDonaldTrump just run!"";;@kzieff @realDonaldTrump;;"585268892823617536";https://twitter.com/realDonaldTrump/status/585268892823617536
realDonaldTrump;2015-04-06 20:31;14;36;""@Realistboutmine: F.Y.I Will make a excellent president He has what it takes to turn this county around he is Donald Trump for a reason."";Manhattan, NY;@Realistboutmine;;"585268741866389504";https://twitter.com/realDonaldTrump/status/585268741866389504
realDonaldTrump;2015-04-06 20:31;19;50;"" @cleopattraUSA : Please makè it a 100% chance you'll run for President! 'I could make this country great again' http:// cnb.cx/1zK3MvM @@"";;@cleopattraUSA @ @;;"585268549993832448";https://twitter.com/realDonaldTrump/status/585268549993832448
realDonaldTrump;2015-04-06 20:28;17;29;""@Whatyouknowjr: @realDonaldTrump @Realistboutmine All you need to do is announce and we're there!"";Manhattan, NY;@Whatyouknowjr @realDonaldTrump @Realistboutmine;;"585267897070710784";https://twitter.com/realDonaldTrump/status/585267897070710784
realDonaldTrump;2015-04-06 20:25;5;15;"" @Reedgs119 : @realdonaldtrump agree 100%"";;@Reedgs119 @realdonaldtrump;;"585267049334763521";https://twitter.com/realDonaldTrump/status/585267049334763521
realDonaldTrump;2015-04-06 20:25;13;40;""@Realistboutmine: @realDonaldTrump for President please everyone vote in 2016 if God willing please we need him to help our country"";Manhattan, NY;@Realistboutmine @realDonaldTrump;;"585266996058656770";https://twitter.com/realDonaldTrump/status/585266996058656770
realDonaldTrump;2015-04-06 20:23;23;58;""@KeatsBen: @realDonaldTrump Donald please run for president! You need to show Obama how a real man does it!"";;@KeatsBen @realDonaldTrump;;"585266666378043392";https://twitter.com/realDonaldTrump/status/585266666378043392
realDonaldTrump;2015-04-06 20:22;19;45;"" @cstace1 : @realDonaldTrump is a president to get excited about!!! 2016!!!"";;@cstace1 @realDonaldTrump;;"585266471779102720";https://twitter.com/realDonaldTrump/status/585266471779102720
