username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2012-12-03 15:01;1107;326;"“Attitude is a little thing that makes a big difference.” -- Winston Churchill";;;;"275721482259296256";https://twitter.com/realDonaldTrump/status/275721482259296256
realDonaldTrump;2012-12-03 14:46;42;31;"I am watching the New York mayoral race very closely…";;;;"275717584127676416";https://twitter.com/realDonaldTrump/status/275717584127676416
realDonaldTrump;2012-12-03 14:38;180;45;"Philadelphia’s Mayor Michael Nutter is in China to drum up business for his struggling city.Our politicians are controlled by the Chinese.";;;;"275715671499870208";https://twitter.com/realDonaldTrump/status/275715671499870208
realDonaldTrump;2012-12-03 14:13;49;23;"The Daily Snooze publishes lies about me. They should be ashamed but it will die very soon.";;;;"275709323508867072";https://twitter.com/realDonaldTrump/status/275709323508867072
realDonaldTrump;2012-12-03 14:09;21;3;"Congratulations to Jesse Angelo on being named publisher of the @nypost . He will do a great job!";;@nypost;;"275708374539182080";https://twitter.com/realDonaldTrump/status/275708374539182080
realDonaldTrump;2012-12-03 14:05;195;73;"Obama is laughing at Karl Rove & all the losers who spent hundreds of millions of dollars and didn’t win one race, including the big one!";;;;"275707339905060864";https://twitter.com/realDonaldTrump/status/275707339905060864
realDonaldTrump;2012-12-03 14:04;80;20;"Karl Rove is now making excuses for his total wasting of $400M—not one win—(the Republicans better get smart next time)...";;;;"275707024480825345";https://twitter.com/realDonaldTrump/status/275707024480825345
realDonaldTrump;2012-12-03 14:04;586;585;"... Time for the Republicans to find someone new—and better.";;;;"275707004973088768";https://twitter.com/realDonaldTrump/status/275707004973088768
realDonaldTrump;2012-12-03 13:51;216;27;"Gold just set another record high on price with the largest physical gold sales on record http:// bit.ly/SF40Sk Inflation is coming...";;;;"275703911292219392";https://twitter.com/realDonaldTrump/status/275703911292219392
realDonaldTrump;2012-12-03 13:40;95;42;"Obama is totally “tweaking” the Republicans because he doesn’t respect them—they’ve got to change their ways.";;;;"275701150261587969";https://twitter.com/realDonaldTrump/status/275701150261587969
realDonaldTrump;2012-12-03 13:23;87;49;"I am very proud of @IvankaTrump for her work with @Cookies4kids . @Cookies4kids is a great cause helping children http:// bit.ly/AvT94";;@IvankaTrump @Cookies4kids @Cookies4kids;;"275696848675688448";https://twitter.com/realDonaldTrump/status/275696848675688448
realDonaldTrump;2012-12-03 13:14;452;156;"It’s about time for all Americans (Republicans & Democrats) to force our elected officials to start acting fiscally responsible!";;;;"275694632875212800";https://twitter.com/realDonaldTrump/status/275694632875212800
realDonaldTrump;2012-12-03 13:00;32;12;"“Trump Brand Expands To South America: The Donald Lends His Name To Luxury Tower In Uruguay” http:// onforb.es/VgAias via @Forbes";;@Forbes;;"275690985089032192";https://twitter.com/realDonaldTrump/status/275690985089032192
realDonaldTrump;2012-12-03 12:58;189;79;". @nbcnightlynews (Brian Williams, anyone?) says women warriors are "every bit as tough as the guys." Just think about that statement!";;@nbcnightlynews;;"275690400386265088";https://twitter.com/realDonaldTrump/status/275690400386265088
realDonaldTrump;2012-12-03 12:43;0;1;"@moniquesourdif Thanks.";;@moniquesourdif;;"275686635482525696";https://twitter.com/realDonaldTrump/status/275686635482525696
realDonaldTrump;2012-12-03 12:38;1;0;"@rebamoreland Thank you & the same to you and yours.";;@rebamoreland;;"275685547165503488";https://twitter.com/realDonaldTrump/status/275685547165503488
realDonaldTrump;2012-12-03 12:37;10;40;"@elenadavies All agree on that--thanks.";;@elenadavies;;"275685141089767424";https://twitter.com/realDonaldTrump/status/275685141089767424
realDonaldTrump;2012-12-03 12:35;16;8;"Watch @IvankaTrump on @foxandfriends discuss her work with @Cookies4kids http:// bit.ly/11GmNko";;@IvankaTrump @foxandfriends @Cookies4kids;;"275684749241114624";https://twitter.com/realDonaldTrump/status/275684749241114624
realDonaldTrump;2012-12-03 12:17;2;1;"@Suzmo816 I am, thanks!";;@Suzmo816;;"275680084675919873";https://twitter.com/realDonaldTrump/status/275680084675919873
realDonaldTrump;2012-12-03 12:16;0;1;"@mmanut True!";;@mmanut;;"275679959727611904";https://twitter.com/realDonaldTrump/status/275679959727611904
realDonaldTrump;2012-12-03 12:16;0;0;"@karefor5 @IvankaTrump @foxandfriends Thanks";;@karefor5 @IvankaTrump @foxandfriends;;"275679840793931777";https://twitter.com/realDonaldTrump/status/275679840793931777
realDonaldTrump;2012-12-03 12:13;30;14;"My @foxandfriends interview discussing how the Democrats want to go over the fiscal cliff & a surprise visit... http:// bit.ly/11GlRMI";;@foxandfriends;;"275679224399003648";https://twitter.com/realDonaldTrump/status/275679224399003648
realDonaldTrump;2012-12-03 11:02;39;43;"Was with @jacknicklaus yesterday--great golfer, great architect, great guy!";;@jacknicklaus;;"275661353996402689";https://twitter.com/realDonaldTrump/status/275661353996402689
realDonaldTrump;2012-12-03 10:12;1;0;"@sinnerofa10shun Work hard and stay focused. Good luck.";;@sinnerofa10shun;;"275648690335645696";https://twitter.com/realDonaldTrump/status/275648690335645696
realDonaldTrump;2012-12-03 09:01;27;22;"I'll be honored at the Family Business Dynasties Gala in NYC on December 5th. It will be a great event for a great cause.";;;;"275630941748224001";https://twitter.com/realDonaldTrump/status/275630941748224001
realDonaldTrump;2012-12-03 08:51;83;26;"As I said on @foxandfriends this a.m., you have to give Obama credit—he won! ...";;@foxandfriends;;"275628233133801472";https://twitter.com/realDonaldTrump/status/275628233133801472
realDonaldTrump;2012-12-03 08:51;48;21;"... The Republicans just didn’t resonate with the people—but they will have better days.";;;;"275628217052823552";https://twitter.com/realDonaldTrump/status/275628217052823552
realDonaldTrump;2012-12-03 08:46;19;15;"Thank you to @IvankaTrump for her wonderful acknowledgement this morning on @foxandfriends ...";;@IvankaTrump @foxandfriends;;"275627017154723840";https://twitter.com/realDonaldTrump/status/275627017154723840
realDonaldTrump;2012-12-03 08:46;37;44;"... The NY Daily Snooze totally lied and never even called my kids!";;;;"275627001560309760";https://twitter.com/realDonaldTrump/status/275627001560309760
realDonaldTrump;2012-12-03 07:42;0;2;"@Boura15 Start with my first book, The Art of the Deal.";;@Boura15;;"275610979998527488";https://twitter.com/realDonaldTrump/status/275610979998527488
realDonaldTrump;2012-12-03 07:28;1;1;"@dpburg Thx -- Enjoy your visit";;@dpburg;;"275607402026520576";https://twitter.com/realDonaldTrump/status/275607402026520576
realDonaldTrump;2012-12-03 07:25;0;0;"@captainluc Thank you";;@captainluc;;"275606597307346944";https://twitter.com/realDonaldTrump/status/275606597307346944
realDonaldTrump;2012-12-03 07:20;0;1;"@joeplaysdrums Never give up!";;@joeplaysdrums;;"275605454216916992";https://twitter.com/realDonaldTrump/status/275605454216916992
realDonaldTrump;2012-12-03 07:01;4;5;"@MichaelArrante Happy Birthday!";;@MichaelArrante;;"275600535556612096";https://twitter.com/realDonaldTrump/status/275600535556612096
