username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2016-02-08 15:21;1873;4909;"#VoteTrumpNH #NHPrimary #FITN http:// youtu.be/jp3rQ9XKsTg";New Hampshire, USA;;#VoteTrumpNH #NHPrimary #FITN;"696821227739082757";https://twitter.com/realDonaldTrump/status/696821227739082757
realDonaldTrump;2016-02-08 12:47;3471;8943;"Now that Bush has wasted $120 million of special interest money on his failed campaign, he says he would end super PACs. Sad!";;;;"696782375863394304";https://twitter.com/realDonaldTrump/status/696782375863394304
realDonaldTrump;2016-02-08 12:43;1598;5291;"Today's third stop- Londonderry, New Hampshire! Thank you! #FITN #VoteTrumpNH pic.twitter.com/pRpcxaZ7ov";Londonderry, NH;;#FITN #VoteTrumpNH;"696781378596302848";https://twitter.com/realDonaldTrump/status/696781378596302848
realDonaldTrump;2016-02-08 11:30;3341;9059;"America needs strong leadership. Politicians can talk but they don’t get things done. Video: https://www. facebook.com/DonaldTrump/vi deos/10156620333635725/ … pic.twitter.com/lBXXyuZAcO";New Hampshire, USA;;;"696763168178204672";https://twitter.com/realDonaldTrump/status/696763168178204672
realDonaldTrump;2016-02-08 09:38;3021;8397;"Everybody is laughing at Jeb Bush-spent $100 million and is at bottom of pack. A pathetic figure!";;;;"696734735578615808";https://twitter.com/realDonaldTrump/status/696734735578615808
realDonaldTrump;2016-02-08 09:33;2256;6670;"Jeb Bush is desperate - strongly in favor of #CommonCore and very weak on illegal immigration.";;;#CommonCore;"696733541313474566";https://twitter.com/realDonaldTrump/status/696733541313474566
realDonaldTrump;2016-02-08 09:29;1537;5275;"Thank you for your support at this mornings Town Hall- in Salem, New Hampshire. #FITN #NHPrimary pic.twitter.com/4m6dabtxCV";New Hampshire, USA;;#FITN #NHPrimary;"696732694135312386";https://twitter.com/realDonaldTrump/status/696732694135312386
realDonaldTrump;2016-02-08 05:20;3527;11351;"Jeb Bush has zero communication skills so he spent a fortune of special interest money on a Super Bowl ad. He is a weak candidate!";;;;"696669855416766467";https://twitter.com/realDonaldTrump/status/696669855416766467
realDonaldTrump;2016-02-08 05:01;1031;5301;"My two wonderful sons, Don and Eric, will be on @foxandfriends at 7:02 - now! Enjoy.";;@foxandfriends;;"696665030549487616";https://twitter.com/realDonaldTrump/status/696665030549487616
realDonaldTrump;2016-02-07 19:03;15729;30660;"So far the Super Bowl is very boring - not nearly as exciting as politics - MAKE AMERICA GREAT AGAIN!";;;;"696514666843996160";https://twitter.com/realDonaldTrump/status/696514666843996160
